ORDERNUMBER,QUANTITYORDERED,PRICEEACH,SALES,PRODUCTLINE,CUSTOMERNAME
10107,30,95.7,2871,Motorcycles,Land of Toys Inc.
10121,34,81.35,2765.9,Motorcycles,Reims Collectables
10134,41,94.74,3884.34,Motorcycles,Lyon Souveniers
10145,45,83.26,3746.7,Motorcycles,Toys4GrownUps.com
10159,49,100,5205.27,Motorcycles,Corporate Gift Ideas Co.
10168,36,96.66,3479.76,Motorcycles,Technics Stores Inc.
10180,29,86.13,2497.77,Motorcycles,Daedalus Designs Imports
10188,48,100,5512.32,Motorcycles,Herkku Gifts
10201,22,98.57,2168.54,Motorcycles,Mini Wheels Co.
10211,41,100,4708.44,Motorcycles,Auto Canal Petit
10223,37,100,3965.66,Motorcycles,"Australian Collectors, Co."
10237,23,100,2333.12,Motorcycles,Vitachrome Inc.
10251,28,100,3188.64,Motorcycles,Tekni Collectables Inc.
10263,34,100,3676.76,Motorcycles,Gift Depot Inc.
10275,45,92.83,4177.35,Motorcycles,La Rochelle Gifts
10285,36,100,4099.68,Motorcycles,Marta's Replicas Co.
10299,23,100,2597.39,Motorcycles,"Toys of Finland, Co."
10309,41,100,4394.38,Motorcycles,Baane Mini Imports
10318,46,94.74,4358.04,Motorcycles,Diecast Classics Inc.
10329,42,100,4396.14,Motorcycles,Land of Toys Inc.
10341,41,100,7737.93,Motorcycles,Salzburg Collectables
10361,20,72.55,1451,Motorcycles,Souveniers And Things Co.
10375,21,34.91,733.11,Motorcycles,La Rochelle Gifts
10388,42,76.36,3207.12,Motorcycles,FunGiftIdeas.com
10403,24,100,2434.56,Motorcycles,"UK Collectables, Ltd."
10417,66,100,7516.08,Motorcycles,Euro Shopping Channel
10103,26,100,5404.62,Classic Cars,Baane Mini Imports
10112,29,100,7209.11,Classic Cars,"Volvo Model Replicas, Co"
10126,38,100,7329.06,Classic Cars,"Corrida Auto Replicas, Ltd"
10140,37,100,7374.1,Classic Cars,Technics Stores Inc.
10150,45,100,10993.5,Classic Cars,"Dragon Souveniers, Ltd."
10163,21,100,4860.24,Classic Cars,Classic Legends Inc.
10174,34,100,8014.82,Classic Cars,"Australian Gift Network, Co"
10183,23,100,5372.57,Classic Cars,"Classic Gift Ideas, Inc"
10194,42,100,7290.36,Classic Cars,"Saveley & Henriot, Co."
10206,47,100,9064.89,Classic Cars,Canadian Gift Exchange Network
10215,35,100,6075.3,Classic Cars,West Coast Collectables Co.
10228,29,100,6463.23,Classic Cars,Cambridge Collectables Co.
10245,34,100,6120.34,Classic Cars,Super Scale Inc.
10258,32,100,7680.64,Classic Cars,"Tokyo Collectables, Ltd"
10270,21,100,4905.39,Classic Cars,Souveniers And Things Co.
10280,34,100,8014.82,Classic Cars,Amica Models & Co.
10291,37,100,7136.19,Classic Cars,Scandinavian Gift Ideas
10304,47,100,10172.7,Classic Cars,Auto Assoc. & Cie.
10312,48,100,11623.7,Classic Cars,Mini Gifts Distributors Ltd.
10322,40,100,6000.4,Classic Cars,Online Diecast Creations Co.
10333,26,100,3003,Classic Cars,Mini Wheels Co.
10347,30,100,3944.7,Classic Cars,"Australian Collectors, Co."
10357,32,100,5691.84,Classic Cars,Mini Gifts Distributors Ltd.
10369,41,100,4514.92,Classic Cars,Collectables For Less Inc.
10381,36,100,8254.8,Classic Cars,Corporate Gift Ideas Co.
10391,24,100,2416.56,Classic Cars,"Anna's Decorations, Ltd"
10411,23,100,4140.23,Classic Cars,Quebec Home Shopping Network
10424,50,100,12001,Classic Cars,Euro Shopping Channel
